Time, Volume, Harmonicity
0, 0, 0
0.02, 0, 0
0.1028178, 0, 0
0.1159275, 0, 0
0.1235329, 0, 0
0.1293649, 0, 0
0.1343312, 0, 0
0.1417034, 0, 0
0.1464289, 0, 0
0.1508911, 0, 0
0.1565578, 0, 0
0.1607431, 0, 0
0.1656245, 0, 0
0.1708397, 0, 0
0.1863324, 0, 0
0.192428, 0, 0
0.1999667, 0, 0
0.2072232, 0, 0
0.2150389, 0, 0
0.2228336, 0, 0
0.2294625, 0, 0
0.2348089, 0, 0
0.2412655, 0, 0
0.2470459, 0, 0
0.2529918, 0, 0
0.2594255, 0, 0
0.2659751, 0, 0
0.2710891, 0, 0
0.2763468, 0, 0
0.2847103, 0, 0
0.2909928, 0, 0
0.2970967, 0, 0
0.3046727, 0, 0
0.3108009, 0, 0
0.3154041, 0, 0
0.3201257, 0, 0
0.3274019, 0, 0
0.3333643, 0, 0
0.3397616, 0, 0
0.3484404, 0, 0
0.3540569, 0, 0
0.3597577, 0, 0
0.3669394, 0, 0
0.3725141, 0, 0
0.3773914, 0, 0
0.3824117, 0, 0
0.3892444, 0, 0
0.3938762, 0, 0
0.3983334, 0, 0
0.4029129, 0, 0
0.4079195, 0, 0
0.4132891, 0, 0
0.4184471, 0, 0
0.4235236, 0, 0
0.4322215, 0, 0
0.4369128, 0, 0
0.4412486, 0, 0
0.447241, 0, 0
0.451603, 0, 0
0.4561813, 0, 0
0.4611167, 0, 0
0.46838, 0, 0
0.473383, 0, 0
0.4782264, 0, 0
0.4832639, 0, 0
0.4893832, 0, 0
0.4942334, 0, 0
0.4994866, 0, 0
0.5040966, 0, 0
0.5111788, 0, 0
0.5156364, 0, 0
0.519989, 0, 0
0.5247235, 0, 0
0.532529, 0, 0
0.5380962, 0, 0
0.5435534, 0, 0
0.5528862, 0, 0
0.5585993, 0, 0
0.5632118, 0, 0
0.5699522, 0, 0
0.5772404, 0, 0
0.5832821, 0, 0
0.5978259, 0, 0
